chunk,chunk,chunk,chunk,chunk,chunk,chunk,Air temperature [C],Air temperature [C],Air temperature [C],Air temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Torque [Nm],Torque [Nm],Torque [Nm],Torque [Nm],Tool wear [min],Tool wear [min],Tool wear [min],Tool wear [min]
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
[3750:3799],75,3750,3799,,,reference,0.841200525948972,0.7,0.3,True,0.7464369410964907,0.7,0.3,True,0.20813222918744254,0.7,0.3,True,0.26573407193469084,0.7,0.3,True,0.46595788920051023,0.7,0.3,False
[3800:3849],76,3800,3849,,,reference,0.8421576791911035,0.7,0.3,True,0.7608071776792422,0.7,0.3,True,0.21848161794750706,0.7,0.3,True,0.21439324273591426,0.7,0.3,True,0.4626790929141569,0.7,0.3,False
[3850:3899],77,3850,3899,,,reference,0.8489601906718176,0.7,0.3,True,0.7308035422924054,0.7,0.3,True,0.20648588455899652,0.7,0.3,True,0.174501700529707,0.7,0.3,True,0.49217587451945805,0.7,0.3,False
[3900:3949],78,3900,3949,,,reference,0.8412529767994221,0.7,0.3,True,0.8310404772226541,0.7,0.3,True,0.23617069723192755,0.7,0.3,True,0.3231603989433801,0.7,0.3,False,0.43383467987532237,0.7,0.3,False
[3950:3999],79,3950,3999,,,reference,0.8602906276446936,0.7,0.3,True,0.8195534878793908,0.7,0.3,True,0.22212461512157497,0.7,0.3,True,0.21489183457170866,0.7,0.3,True,0.44507612144378716,0.7,0.3,False
[4000:4049],80,4000,4049,,,reference,0.8908077979791004,0.7,0.3,True,0.7492146466572666,0.7,0.3,True,0.24234406867747893,0.7,0.3,True,0.1507540947534896,0.7,0.3,True,0.5575323255884151,0.7,0.3,False
[4050:4099],81,4050,4099,,,reference,0.8908077979791004,0.7,0.3,True,0.7394460309598083,0.7,0.3,True,0.28309273650133554,0.7,0.3,True,0.21016029704782074,0.7,0.3,True,0.47580528283531215,0.7,0.3,False
[4100:4149],82,4100,4149,,,reference,0.8380455232438534,0.7,0.3,True,0.7469919540968625,0.7,0.3,True,0.26896596719743276,0.7,0.3,True,0.25100270760654475,0.7,0.3,True,0.47328580391790753,0.7,0.3,False
[4150:4199],83,4150,4199,,,reference,0.8384183197426998,0.7,0.3,True,0.6922714152026479,0.7,0.3,False,0.304300850456142,0.7,0.3,False,0.17303930141140203,0.7,0.3,True,0.45711093226381216,0.7,0.3,False
[4200:4249],84,4200,4249,,,reference,0.8403956707699324,0.7,0.3,True,0.791744089851746,0.7,0.3,True,0.26042831630698904,0.7,0.3,True,0.1760419599975086,0.7,0.3,True,0.48756348737699723,0.7,0.3,False
